Pokedex Entry,Number,Name
"It rolls up pollen into puffs. It makes many different varieties, some used as food and others used in battle.",#743,Ribombee
"It feeds on the nectar and pollen of flowers. Because it’s able to sense auras, it can identify which flowers are about to bloom.",#742,Cutiefly
"It beats its wings together to create fire. As it moves in the steps of its beautiful dance, it bathes opponents in intense flames.",#741,Oricorio
"It aimed for the top but got lost and ended up on a snowy mountain. Being forced to endure the cold, this Pokémon evolved and grew fur.",#740,Crabominable
"While guarding its weak points with its pincers, it looks for an opening and unleashes punches. When it loses, it foams at the mouth and faints.",#739,Crabrawler
"It zips around, on sharp lookout for an opening. It concentrates electrical energy within its large jaws and uses it to zap its enemies.",#738,Vikavolt
"Its body is capable of storing electricity. On camping trips, people are grateful to have one around.",#737,Charjabug
Its strong jaw enables it to scrape trees and slurp out the sap. It normally lives underground.,#736,Grubbin
"When it finds a trace of its prey, it patiently stakes out the location...but it’s always snoozing by nightfall.",#735,Gumshoos
"With its sharp fangs, it will bite anything. It did not originally live in Alola but was imported from another region.",#734,Yungoos
"When it battles, its beak heats up. The temperature can easily exceed 212 degrees Fahrenheit, causing severe burns when it hits.",#733,Toucannon
"It eats berries and stores their seeds in its beak. When it encounters enemies or prey, it fires off all the seeds in a burst.",#732,Trumbeak
It can peck at a rate of 16 times a second to drill holes in trees. It uses the holes for food storage and for nesting.,#731,Pikipek
It controls its water balloons with song. The melody is learned from others of its kind and is passed down from one generation to the next.,#730,Primarina
"A skillful dancer, it creates a sequence of water balloons as it dances, and briskly bombards its enemies.",#729,Brionne
"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It’s famous for being a hard worker.",#728,Popplio
"This Pokémon has a violent, selfish disposition. If it’s not in the mood to listen, it will ignore its Trainer’s orders with complete nonchalance.",#727,Incineroar
"At its throat, it bears a bell of fire. The bell rings brightly whenever this Pokémon spits fire.",#726,Torracat
"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",#725,Litten
"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.",#724,Decidueye
"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",#723,Dartrix
"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",#722,Rowlet
It lets out billows of steam and disappears into the dense fog. It’s said to live in mountains where humans do not tread.,#721,Volcanion
"This troublemaker sends anything and everything to faraway places using its loop, which can warp space.",#720,Hoopa
"A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world.",#719,Diancie
"When the Kalos region’s ecosystem falls into disarray, it appears and reveals its secret power.",#718,Zygarde
"When this legendary Pokémon’s wings and tail feathers spread wide and glow red, it absorbs the life force of living creatures.",#717,Yveltal
Legends say it can share eternal life. It slept for a thousand years in the form of a tree before its revival.,#716,Xerneas
They fly around on moonless nights and attack careless prey. Nothing can beat them in a battle in the dark.,#715,Noivern
"They live in pitch-black caves. Their enormous ears can emit ultrasonic waves of 200,000 hertz.",#714,Noibat
Its ice-covered body is as hard as steel. Its cumbersome frame crushes anything that stands in its way.,#713,Avalugg
It blocks opponents’ attacks with the ice that shields its body. It uses cold air to repair any cracks with new ice.,#712,Bergmite
"Singing in eerie voices, they wander town streets on the night of the new moon. Anyone who hears their song is cursed.",#711,Gourgeist
"The pumpkin body is inhabited by a spirit trapped in this world. As the sun sets, it becomes restless and active.",#710,Pumpkaboo
"It can control trees at will. It will trap people who harm the forest, so they can never leave.",#709,Trevenant
These Pokémon are created when spirits possess rotten tree stumps. They prefer to live in abandoned forests.,#708,Phantump
These key collectors threaten any attackers by fiercely jingling their keys at them.,#707,Klefki
"This very friendly Dragon-type Pokémon will hug its beloved Trainer, leaving that Trainer covered in sticky slime.",#706,Goodra
"It drives away opponents by excreting a sticky liquid that can dissolve anything. Its eyes devolved, so it can’t see anything.",#705,Sliggoo
"The weakest Dragon-type Pokémon, it lives in damp, shady places, so its body doesn’t dry out.",#704,Goomy
"Born from the temperatures and pressures deep underground, it fires beams from the stone in its head.",#703,Carbink
"Its whiskers serve as antennas. By sending and receiving electrical waves, it can communicate with others over vast distances.",#702,Dedenne
"Although its body is small, its proficient fighting skills enable it to keep up with big bruisers like Machamp and Hariyama.",#701,Hawlucha
It sends a soothing aura from its ribbonlike feelers to calm fights.,#700,Sylveon
"The diamond-shaped crystals on its body expel air as cold as -240 degrees Fahrenheit, surrounding its enemies and encasing them in ice.",#699,Aurorus
This ancient Pokémon was restored from part of its body that had been frozen in ice for over 100 million years.,#698,Amaura
"Thanks to its gargantuan jaws, which could shred thick metal plates as if they were paper, it was invincible in the ancient world it once inhabited.",#697,Tyrantrum
"This Pokémon was restored from a fossil. If something happens that it doesn’t like, it throws a tantrum and runs wild.",#696,Tyrunt
They flare their frills and generate energy. A single Heliolisk can generate sufficient electricity to power a skyscraper.,#695,Heliolisk
"They make their home in deserts. They can generate their energy from basking in the sun, so eating food is not a requirement.",#694,Helioptile
Their enormous claws launch cannonballs of water powerful enough to pierce tanker hulls.,#693,Clawitzer
They knock down flying prey by firing compressed water from their massive claws like shooting a pistol.,#692,Clauncher
"Their poison is strong enough to eat through the hull of a tanker, and they spit it indiscriminately at anything that enters their territory.",#691,Dragalge
"Camouflaged as rotten kelp, they spray liquid poison on prey that approaches unawares and then finish it off.",#690,Skrelp
"When they evolve, two Binacle multiply into seven. They fight with the power of seven Binacle.",#689,Barbaracle
"Two Binacle live together on one rock. When they fight, one of them will move to a different rock.",#688,Binacle
"It wields the most compelling hypnotic powers of any Pokémon, and it forces others to do whatever it wants.",#687,Malamar
Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.,#686,Inkay
It can distinguish the faintest of scents. It puts its sensitive sense of smell to use by helping pastry chefs in their work.,#685,Slurpuff
"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy.",#684,Swirlix
"It devises various scents, pleasant and unpleasant, and emits scents that its enemies dislike in order to gain an edge in battle.",#683,Aromatisse
It emits a scent that enraptures those who smell it. This fragrance changes depending on what it has eaten.,#682,Spritzee
"Generations of kings were attended by these Pokémon, which used their spectral power to manipulate and control people and Pokémon.",#681,Aegislash
"When Honedge evolves, it divides into two swords, which cooperate via telepathy to coordinate attacks and slash their enemies to ribbons.",#680,Doublade
Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.,#679,Honedge
"When in danger, it raises its ears and releases enough psychic power to grind a 10-ton truck into dust.",#678,Meowstic
The organ that emits its intense psychic power is sheltered by its ears to keep power from leaking out.,#677,Espurr
Trimming its fluffy fur not only makes it more elegant but also increases the swiftness of its movements.,#676,Furfrou
"Although it possesses a violent temperament, it won’t put up with bullying. It uses the leaf in its mouth to sense the movements of its enemies.",#675,Pangoro
"It does its best to be taken seriously by its enemies, but its glare is not sufficiently intimidating. Chewing on a leaf is its trademark.",#674,Pancham
It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.,#673,Gogoat
"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition.",#672,Skiddo
"It claims exquisite flower gardens as its territory, and it obtains power from basking in the energy emitted by flowering plants.",#671,Florges
It draws out and controls the hidden power of flowers. The flower Flabébé holds is most likely part of its body.,#669,Flabébé
It flutters around fields of flowers and cares for flowers that are starting to wilt. It draws out the hidden power of flowers to battle.,#670,Floette
The male with the largest mane of fire is the leader of the pride.,#668,Pyroar
"The stronger the opponent it faces, the more heat surges from its mane and the more power flows through its body.",#667,Litleo
Vivillon with many different patterns are found all over the world. These patterns are affected by the climate of their habitat.,#666,Vivillon
"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them.",#665,Spewpa
"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact.",#664,Scatterbug
"In the fever of an exciting battle, it showers embers from the gaps between its feathers and takes to the air.",#663,Talonflame
"From its beak, it expels embers that set the tall grass on fire. Then it pounces on the bewildered prey that pop out of the grass.",#662,Fletchinder
These friendly Pokémon send signals to one another with beautiful chirps and tail-feather movements.,#661,Fletchling
"With their powerful ears, they can heft boulders of a ton or more with ease. They can be a big help at construction sites.",#660,Diggersby
They use their large ears to dig burrows. They will dig the whole night through.,#659,Bunnelby
"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two.",#658,Greninja
"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away.",#657,Frogadier
It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,#656,Froakie
"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.",#655,Delphox
"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.",#654,Braixen
"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",#653,Fennekin
Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,#652,Chesnaught
It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.,#651,Quilladin
"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",#650,Chespin
"Over 300 million years ago, it was feared as the strongest of hunters. It has been modified by Team Plasma.",#649,Genesect
Its melodies are sung with a special vocalization method that can control the feelings of those who hear it.,#648,Meloetta
"By blasting water from its hooves, it can glide across water. It excels at using leg moves while battling.",#647,Keldeo
"It generates a powerful, freezing energy inside itself, but its body became frozen when the energy leaked out.",#646,Kyurem
Lands visited by Landorus grant such bountiful crops that it has been hailed as “The Guardian of the Fields.”,#645,Landorus
"Concealing itself in lightning clouds, it flies throughout the Unova region. It creates electricity in its tail.",#644,Zekrom
"This Pokémon appears in legends. It sends flames into the air from its tail, burning up everything around it.",#643,Reshiram
Countless charred remains mar the landscape of places through which Thundurus has passed.,#642,Thundurus
The lower half of its body is wrapped in a cloud of energy. It zooms through the sky at 200 mph.,#641,Tornadus
This Pokémon fought humans in order to protect its friends. Legends about it continue to be passed down.,#640,Virizion
This Pokémon came to the defense of Pokémon that had lost their homes in a war among humans.,#639,Terrakion
This legendary Pokémon battled against humans to protect Pokémon. Its personality is calm and composed.,#638,Cobalion
"When volcanic ash darkened the atmosphere, it is said that Volcarona’s fire provided a replacement for the sun.",#637,Volcarona
"This Pokémon was believed to have been born from the sun. When it evolves, its entire body is engulfed in flames.",#636,Larvesta
"This brutal Pokémon travels the skies on its six wings. Anything that moves seems like a foe to it, triggering its attack.",#635,Hydreigon
"After it has eaten up all the food in its territory, it moves to another area. Its two heads do not get along.",#634,Zweilous
"It tends to bite everything, and it is not a picky eater. Approaching it carelessly is dangerous.",#633,Deino
"They attack in groups, covering themselves in steel armor to protect themselves from Heatmor.",#632,Durant
It breathes through a hole in its tail while it burns with an internal fire. Durant is its prey.,#631,Heatmor
It makes a nest out of bones it finds. It grabs weakened prey in its talons and hauls it to its nest of bones.,#630,Mandibuzz
"Its wings are too tiny to allow it to fly. As the time approaches for it to evolve, it discards the bones it was wearing.",#629,Vullaby
They fight for their friends without any thought about danger to themselves. One can carry a car while flying.,#628,Braviary
"They crush berries with their talons. They bravely stand up to any opponent, no matter how strong it is.",#627,Rufflet
"Their fluffy fur absorbs damage, even if they strike foes with a fierce headbutt.",#626,Bouffalant
"It leads a group of Pawniard. It battles to become the boss, but will be driven from the group if it loses.",#625,Bisharp
"Blades comprise this Pokémon’s entire body. If battling dulls the blades, it sharpens them on stones by the river.",#624,Pawniard
It flies across the sky at Mach speeds. Removing the seal on its chest makes its internal energy go out of control.,#623,Golurk
"The energy that burns inside it enables it to move, but no one has yet been able to identify this energy.",#622,Golett
"It warms its body by absorbing sunlight with its wings. When its body temperature falls, it can no longer move.",#621,Druddigon
It wields the fur on its arms like a whip. Its arm attacks come with such rapidity that they cannot even be seen.,#620,Mienshao
"In fights, they dominate with onslaughts of flowing, continuous attacks. With their sharp claws, they cut enemies.",#619,Mienfoo
"Its skin is very hard, so it is unhurt even if stepped on by sumo wrestlers. It smiles when transmitting electricity.",#618,Stunfisk
"When its body dries out, it weakens. So, to prevent dehydration, it wraps itself in many layers of thin membrane.",#617,Accelgor
"When attacked, it defends itself by closing the lid of its shell. It can spit a sticky, poisonous liquid.",#616,Shelmet
"When its body temperature goes up, it turns into steam and vanishes. When its temperature lowers, it returns to ice.",#615,Cryogonal
"It can make its breath freeze at will. Very able in the water, it swims around in northern seas and catches prey.",#614,Beartic
"When it is not feeling well, its mucus gets watery and the power of its Ice-type moves decreases.",#613,Cubchoo
They are kind but can be relentless when defending territory. They challenge foes with tusks that can cut steel.,#612,Haxorus
"Since a broken tusk will not grow back, they diligently sharpen their tusks on river rocks after they’ve been fighting.",#611,Fraxure
They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.,#610,Axew
"It absorbs a spirit, which it then burns. By waving the flames on its arms, it puts its foes into a hypnotic trance.",#609,Chandelure
"This ominous Pokémon is feared. Through cities it wanders, searching for the spirits of the fallen.",#608,Lampent
"Litwick shines a light that absorbs the life energy of people and Pokémon, which becomes the fuel that it burns.",#607,Litwick
"It can manipulate an opponent’s memory. Apparently, it communicates by flashing its three different-colored fingers.",#606,Beheeyem
"It uses its strong psychic power to squeeze its opponent’s brain, causing unendurable headaches.",#605,Elgyem
They crawl out of the ocean using their arms. They will attack prey on shore and immediately drag it into the ocean.,#604,Eelektross
They coil around foes and shock them with electricity-generating organs that seem simply to be circular patterns.,#603,Eelektrik
"While one alone doesn’t have much power, a chain of many Tynamo can be as powerful as lightning.",#602,Tynamo
Its red core functions as an energy tank. It fires the charged energy through its spikes into an area.,#601,Klinklang
"By changing the direction in which it rotates, it communicates its feelings to others. When angry, it rotates faster.",#600,Klang
The two minigears that mesh together are predetermined. Each will rebound from other minigears without meshing.,#599,Klink
It fights by swinging around its three spiky feelers. A hit from these steel spikes can reduce a boulder to rubble.,#598,Ferrothorn
"When threatened, it attacks by shooting a barrage of spikes, which gives it a chance to escape by rolling away.",#597,Ferroseed
"When attacked, they create an electric barrier by spitting out many electrically charged threads.",#596,Galvantula
Joltik that live in cities have learned a technique for sucking electricity from the outlets in houses.,#595,Joltik
The special membrane enveloping Alomomola has the ability to heal wounds.,#594,Alomomola
"The fate of the ships and crew that wander into Jellicent’s habitat: all sunken, all lost, all vanished.",#593,Jellicent
"With its thin, veil-like arms wrapped around the body of its opponent, it sinks to the ocean floor.",#592,Frillish
"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.",#591,Amoonguss
"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",#590,Foongus
"They fly around at high speed, striking with their pointed spears. Even when in trouble, they face opponents bravely.",#589,Escavalier
These mysterious Pokémon evolve when they receive electrical stimulation while they are in the same place as Shelmet.,#588,Karrablast
The energy made in its cheeks’ electric pouches is stored inside its membrane and released while it is gliding.,#587,Emolga
They migrate according to the seasons. People can tell the season by looking at Sawsbuck’s horns.,#586,Sawsbuck
"The color and scent of their fur changes to match the mountain grass. When they sense hostility, they hide in the grass.",#585,Deerling
"Swallowing large amounts of water, they make snow clouds inside their bodies and attack their foes with violent blizzards.",#584,Vanilluxe
"Snowy mountains are this Pokémon’s habitat. During an ancient ice age, they moved to southern areas.",#583,Vanillish
The temperature of their breath is -58° F. They create snow crystals and make snow fall in the areas around them.,#582,Vanillite
Swanna start to dance at dusk. The one dancing in the middle is the leader of the flock.,#581,Swanna
"When Reuniclus shake hands, a network forms between their brains, increasing their psychic power.",#579,Reuniclus
These bird Pokémon are excellent divers. They swim around in the water eating their favorite food--peat moss.,#580,Ducklett
"Since they have two divided brains, at times they suddenly try to take two different actions at once.",#578,Duosion
They drive away attackers by unleashing psychic power. They can use telepathy to talk with others.,#577,Solosis
Starry skies thousands of light-years away are visible in the space distorted by their intense psychic power.,#576,Gothitelle
They use hypnosis to control people and Pokémon. Tales of Gothorita leading people astray are told in every corner.,#575,Gothorita
Their ribbonlike feelers increase their psychic power. They are always staring at something.,#574,Gothita
Their white fur is coated in a special oil that makes it easy for them to deflect attacks.,#573,Cinccino
"They greet one another by rubbing each other with their tails, which are always kept well groomed and clean.",#572,Minccino
Bonds between these Pokémon are very strong. It protects the safety of its pack by tricking its opponents.,#571,Zoroark
"It changes into the forms of others to surprise them. Apparently, it often transforms into a silent child.",#570,Zorua
It clenches opponents with its left arm and finishes them off with foul-smelling poison gas belched from its mouth.,#569,Garbodor
Inhaling the gas they belch will make you sleep for a week. They prefer unsanitary places.,#568,Trubbish
"They are intelligent and will cooperate to catch prey. From the ground, they use a running start to take flight.",#567,Archeops
"Said to be an ancestor of bird Pokémon, they were unable to fly and moved about by hopping from one branch to another.",#566,Archen
They can live both in the ocean and on land. A slap from one of them is enough to open a hole in the bottom of a tanker.,#565,Carracosta
"Restored from a fossil, this Pokémon can dive to depths beyond half a mile.",#564,Tirtouga
It has been said that they swallow those who get too close and turn them into mummies. They like to eat gold nuggets.,#563,Cofagrigus
Each of them carries a mask that used to be its face when it was human. Sometimes they look at it and cry.,#562,Yamask
"They never vary the route they fly, because their memories of guarding an ancient city remain steadfast.",#561,Sigilyph
Groups of them beat up anything that enters their territory. Each can spit acidic liquid from its mouth.,#560,Scrafty
"Its skin has a rubbery elasticity, so it can reduce damage by defensively pulling its skin up to its neck.",#559,Scraggy
"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.",#558,Crustle
This Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.,#557,Dwebble
It uses an up-tempo song and dance to drive away the bird Pokémon that prey on its flower seeds.,#556,Maractus
"Its internal fire burns at 2,500° F, making enough power that it can destroy a dump truck with one punch.",#555,Darmanitan
"When its internal fire is burning, it cannot calm down and it runs around. When the fire diminishes, it falls asleep.",#554,Darumaka
"They never allow prey to escape. Their jaws are so powerful, they can crush the body of an automobile.",#553,Krookodile
They live in groups of a few individuals. Protective membranes shield their eyes from sandstorms.,#552,Krokorok
They live buried in the sands of the desert. The sun-warmed sands prevent their body temperature from dropping.,#551,Sandile
"Red and blue Basculin get along so poorly, they’ll start fighting instantly. These Pokémon are very hostile.",#550,Basculin
Even veteran Trainers face a challenge in getting its beautiful flower to bloom. This Pokémon is popular with celebrities.,#549,Lilligant
The leaves on its head are very bitter. Eating one of these leaves is known to refresh a tired body.,#548,Petilil
"Like the wind, it can slip through any gap, no matter how small. It leaves balls of white fluff behind.",#547,Whimsicott
"With quick movements, it chases down its foes, attacking relentlessly with its horns until it prevails.",#545,Scolipede
"When attacked, it escapes by shooting cotton from its body. The cotton serves as a decoy to distract the attacker.",#546,Cottonee
"Protected by a hard shell, it spins its body like a wheel and crashes furiously into its enemies.",#544,Whirlipede
"Its bite injects a potent poison, enough to paralyze large bird Pokémon that try to prey on it.",#543,Venipede
"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",#542,Leavanny
Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,#541,Swadloon
Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,#540,Sewaddle
The sound of Sawk punching boulders and trees can be heard all the way from the mountains where they train.,#539,Sawk
"When it tightens its belt, it becomes stronger. Wild Throh use vines to weave their own belts.",#538,Throh
They shoot paralyzing liquid from their head bumps. They use vibration to hurt their opponents.,#537,Seismitoad
"When they vibrate the bumps on their heads, they can make waves in water or earthquake-like vibrations on land.",#536,Palpitoad
They warn others of danger by vibrating their cheeks to create a high-pitched sound.,#535,Tympole
"It is thought that Conkeldurr taught humans how to make concrete more than 2,000 years ago.",#534,Conkeldurr
This Pokémon is so muscular and strongly built that even a group of wrestlers could not make it budge an inch.,#533,Gurdurr
It fights by swinging a piece of lumber around. It is close to evolving when it can handle the lumber without difficulty.,#532,Timburr
